station,last_update,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,AQI
"Mariam Nagar, Purnia - BSPCB",2026-04-21 17:00:00,1.5564753546535182,-0.9622372246800176,-1.0706740012528415,-0.6114084901008177,-0.8212971438430802,0.10173351708767818,0.02762880339460658,78.0
"Masoom Colony, Parbhani - MPCB",2026-04-21 17:00:00,-1.0928208818843714,-0.40772763757627867,-0.3434813858953825,-0.6114084901008177,0.28653574313929037,0.41309795715290887,0.10757597917474515,117.0
"Mavdi, Rajkot - Nexteng Enviro ",2026-04-21 17:00:00,3.3602515157005914,-1.2394920182318871,-0.8109623529108919,-1.0218223331217058,-0.599730566446606,-0.16172870142905546,0.18752315495488373,91.0
"Mayaganj, Bhagalpur - BSPCB",2026-04-21 17:00:00,2.909307475438823,0.42403674307932976,-1.0187316715844517,-0.7909645464224562,0.7498113140591908,2.8561112561262574,3.145568658820011,193.0
"Mazgaon, Mumbai - IITM",2026-04-21 17:00:00,1.8383153798171232,0.1467819495274603,0.6953652074724163,0.2094191959409587,-0.47887606968489294,-0.5928486953655288,-0.6918957786266406,79.0
"Meelavittan, Thoothukudi - TNPCB",2026-04-21 17:00:00,0.2600112389009339,-0.1304728440244092,-0.4993083749005523,-0.5344558945344011,-0.7810123115891758,-0.3054353660745466,-0.5320014270663634,64.0
"Meher Colony, Baripada - OSPCB",2026-04-21 17:00:00,-0.5855088365898818,-1.2394920182318871,-0.8109623529108919,0.10681573518573667,-0.37816398905013193,-0.2096309229775525,-0.611948602846502,84.0
"Mhada Colony, Pune - IITM",2026-04-21 17:00:00,1.7819473747844023,-0.1304728440244092,0.2798265701252967,0.3633243870737918,-0.35802157292317977,-0.6407509169140257,-0.29215989972594775,85.0
"Mindspace-Malad West, Mumbai - MPCB",2026-04-21 17:00:00,-1.0928208818843714,-0.9622372246800176,-0.759020023242502,-0.22664551226873497,-0.9622940567317455,-0.9521153569792564,-1.0916316575273335,55.0
"Mini Secretariat, Charkhi Dadri - HSPCB",2026-04-21 17:00:00,-0.9800848718189292,0.1467819495274603,-0.6031930342373322,-0.9448697375552892,1.1325172204712823,3.1914268069657363,-0.4520542512862249,251.0
"Mirchaibari, Katihar - BSPCB",2026-04-21 17:00:00,2.6274674502752178,-0.1304728440244092,-0.23959672655860262,-0.9192188723664838,-0.21702466003451443,-0.3054353660745466,-0.29215989972594775,92.0
"Model Town, Patiala - PPCB",2026-04-21 17:00:00,-0.9800848718189292,0.1467819495274603,-0.4473660452321624,-0.43185243377917903,0.08511158186976846,-0.47309314149428616,-0.3721070755060863,107.0
"More Chowk Waluj, Aurangabad - MPCB",2026-04-21 17:00:00,-1.5437649221461398,2.919329885046155,-0.4473660452321624,0.05551400480812565,-0.5393033180657495,0.2693912925074178,1.3867307916569624,85.0
"Moti Doongri, Alwar - RSPCB",2026-04-21 17:00:00,-0.19093280136083451,0.7012915366311993,0.903134526145976,-0.17534378189112396,0.024684333488911876,-0.3054353660745466,0.2674703307350223,104.0
"Motilal Nehru NIT, Prayagraj - UPPCB",2026-04-21 17:00:00,-1.0928208818843714,0.7012915366311993,-0.759020023242502,-0.5344558945344011,-0.277451908415371,-0.8802620246565108,0.907047736976131,89.0
"Mudtra Sili, Jalore - RSPCB",2026-04-21 17:00:00,-0.641876841622603,-0.40772763757627867,-0.6551353639057221,0.4659278478290138,-0.6400153987005105,-1.071870910850499,-0.9317373059670563,71.0
"Mulund West, Mumbai - MPCB",2026-04-21 17:00:00,-0.19093280136083451,-0.1304728440244092,0.9550768558143659,-0.22664551226873497,-0.21702466003451443,-1.263479797044487,-0.29215989972594775,92.0
"Mundka, Delhi - DPCC",2026-04-21 17:00:00,0.8800592942608655,0.1467819495274603,1.1109038448195356,0.6454839041506524,3.3683254105629756,2.9519156992232514,1.3867307916569624,276.0
"Municipal Corporation Office, Dharuhera -  HSPCB",2026-04-21 17:00:00,2.3456274251116125,3.7510942657017634,0.5914805481356363,0.004212274430514627,-0.0357429148919447,1.0837290588318673,-0.7718429544067792,119.0
"Muradpur, Patna - BSPCB",2026-04-21 17:00:00,-0.8109808567207661,-0.1304728440244092,-0.8109623529108919,-1.2013783894433443,2.038925946184131,3.1914268069657363,-0.611948602846502,221.0
"Murthal, Sonipat - HSPCB",2026-04-21 17:00:00,0.8800592942608655,3.7510942657017634,-0.759020023242502,-0.7653136812336507,0.4275326560279557,0.07778240631342966,-0.6918957786266406,124.0
"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",2026-04-21 17:00:00,0.5418512640645392,-0.1304728440244092,-0.759020023242502,-0.9448697375552892,-0.21702466003451443,0.2933424032816663,-0.9317373059670563,92.0
"NISE Gwal Pahari, Gurugram - IMD",2026-04-21 17:00:00,0.8800592942608655,-0.1304728440244092,-0.3954237155637724,0.5685313085842358,1.8375017849146091,1.2274357234773583,-0.29215989972594775,194.0
"NSI Kalyanpur, Kanpur - UPPCB",2026-04-21 17:00:00,-1.0364528768516503,-0.9622372246800176,0.072057251451737,-0.9448697375552892,-0.0357429148919447,-0.35333758762304357,-0.13226554816567057,101.0
"NSIT Dwarka, Delhi - CPCB",2026-04-21 17:00:00,1.8946833848498443,2.6420750914942857,3.500251009565473,0.31202265669618073,1.192944468852139,0.8202668403151335,0.10757597917474515,162.0
"NSUT Jaffarpur, Delhi - DPCC",2026-04-21 17:00:00,0.8236912892281444,-0.1304728440244092,0.48759588879885646,3.364475614164036,1.495080710756422,2.3531379298670383,2.585938428359041,191.0
"Nacharam_TSIIC IALA, Hyderabad - TSPCB",2026-04-21 17:00:00,-0.5291408315571609,0.1467819495274603,-0.5512507045689422,-0.40620156859037354,-0.21702466003451443,-0.11382647988055844,-0.29215989972594775,92.0
"Nagar Nigam, Prayagraj - UPPCB",2026-04-21 17:00:00,-0.641876841622603,0.42403674307932976,-1.1226163309212316,-1.0474731983105112,-0.7608698954622236,-0.9760664677535049,1.8664138463377937,65.0
"Nagla Bhau, Firozabad - UPPCB",2026-04-21 17:00:00,0.7109552791627023,-0.9622372246800176,-0.4993083749005523,-0.8679171419888727,-0.4587336535579407,-0.4012398091715406,1.2268364400966851,80.0
"Naharlagun, Naharlagun - APSPCB",2026-04-21 17:00:00,-1.0928208818843714,-1.2394920182318871,-1.0187316715844517,-1.2013783894433443,-1.3449999631438372,-1.0000175785277534,-0.5320014270663634,36.0
"Najafgarh, Delhi - DPCC",2026-04-21 17:00:00,-0.5855088365898818,1.8103107108386771,0.6953652074724163,-0.021438590758290885,1.716647288152896,2.2094312652215473,1.2268364400966851,188.0
"Narela, Delhi - DPCC",2026-04-21 17:00:00,1.1618993194244707,1.2558011237349382,-0.13571206722182275,0.38897525226259727,2.159780442945844,1.538800163542589,0.2674703307350223,210.0
"Nathu Colony, Ballabgarh - HSPCB",2026-04-21 17:00:00,1.1055313143917498,-0.6849824311281482,-0.3434813858953825,-0.22664551226873497,3.3683254105629756,0.748413507992388,-0.611948602846502,294.0
"Navy Nagar-Colaba, Mumbai - IITM",2026-04-21 17:00:00,-0.19093280136083451,-0.1304728440244092,-0.23959672655860262,0.10681573518573667,-0.17673982778061004,-0.3293864768487951,-0.611948602846502,94.0
"Nayapura, Kota - RSPCB",2026-04-21 17:00:00,-0.641876841622603,-0.40772763757627867,1.1109038448195356,0.08116486999693116,-0.11631257939975347,1.3471912773486008,0.3474175065151609,130.0
"Nehru Nagar, Delhi - DPCC",2026-04-21 17:00:00,0.5982192690972602,1.2558011237349382,1.3186731634930955,0.05551400480812565,1.4749382946294696,0.9160712834121276,1.3067836158768238,176.0
"Nehru Nagar, Kanpur - UPPCB",2026-04-21 17:00:00,1.7819473747844023,-0.1304728440244092,0.903134526145976,-0.7140119508560396,-0.9622940567317455,-0.3054353660745466,-0.13226554816567057,63.0
"Nerul, Navi Mumbai - MPCB",2026-04-21 17:00:00,-0.19093280136083451,0.42403674307932976,1.5783848118350452,-0.22664551226873497,-0.21702466003451443,-0.37728869839729207,-0.29215989972594775,92.0
"New Colony, Bundi - RSPCB",2026-04-21 17:00:00,-1.1491888869170925,-0.6849824311281482,1.007019185482756,1.3124063990595958,-0.4184488213040363,-0.8802620246565108,-0.4520542512862249,104.0
"New DM Office, Arrah - BSPCB",2026-04-21 17:00:00,1.387371339555355,-0.9622372246800176,-1.0187316715844517,-1.1500766590657334,-0.5191609019387973,0.9160712834121276,-0.9317373059670563,112.0
"New Industrial Town, Faridabad - HSPCB",2026-04-21 17:00:00,1.7819473747844023,1.5330559172868077,-0.08376973755343281,-0.9705206027440948,-0.2573094922884188,0.6765601756696425,-0.6918957786266406,102.0
"New Malakpet, Hyderabad - TSPCB",2026-04-21 17:00:00,0.20364323386821284,-0.6849824311281482,-0.6031930342373322,-0.5601067597232066,-0.2975943245423232,-0.18567981220330398,-0.052318372385532,88.0
